OTHERS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Afghanistan	0.005670447	0.0058239123	0.0062986291	0.0057529611	0.00574907	0.0062134503	0.0057219791	0.0058259082	0.0057882193	0.0063166206	0.0047789725	0.0056454648	0.006615215	0.005899705	0.0058139535	0.0053134963	0.0056292722	0.0049656226	0.0060998856	0.0064542154	0.0068465566	0.0068548387	0.0071315372	0.0077456176	0.0079034942	0.008343763	0.0073313783	0.0075426757	0.0073081608	0.007346586	0.0078354554	0.008994709	0.0068134172	0.0071389347	0.0059620596	0.005425936	0.0053390283	0.0047318612	0.0048622366	0.005027933	0.0051783659	0.0043835616	0.0058139535	0.0056008147	0.005655527	0.004577823	0.0049019608	0.0049091802	0.004803074	 
Albania	0.00450045	0.0040178571	0.0041724618	0.0039647577	0.0039964476	0.0039929015	0.0044189129	0.0042698548	0.0041597338	0.0041407867	0.0042372881	0.0037720034	0.0032921811	0.0024067389	0.0024048096	0.0018656716	0.0014409222	0.0018615041	0.0015343306	0.0015396459	0.0018691589	0.0018747657	0.0017869907	0.0018375597	0.0015594542	0.0014869888	0.0020032051	0.0015426147	0.0011691348	0.0007809449	0.0027184466	0.0022581859	0.0010729614	0.0024313998	0.002576371	0.0038800705	0.0047723935	0.0124770642	0.011827957	0.0095168375	0.0100214746	0.0066433566	0.0075921909	0.0183321352	0.0090655509	0.013319313	0.0087351502	0.0169432918	0.0242320819	 
Algeria	0.0018518519	0.0006377551	0.0006548788	0.0019480519	0.0012578616	0	0.0012150668	0.0011730205	0.0017615972	0.0011954573	0.001744186	0.0005411255	0.0010810811	0.0025188917	0.001457018	0.0014655594	0.0013586957	0.0012798635	0.0008183306	0.0007803355	0.0011560694	0.000778513	0.0003920031	0.0008	0.0007662835	0.0007619048	0.0007601672	0.000742115	0.0007254262	0.0007264802	0.0007323325	0.001047486	0.0006985679	0.0010869565	0.0007191658	0.0014372979	0.0014641288	0.0003585515	0.0014069645	0.0010676157	0.001039501	0.001367054	0.0010104412	0.0026809651	0.002368065	0.0019704433	0.0019762846	0.001644196	0.0041841004	 
Angola	0.0149750416	0.0214050494	0.0220667384	0.018766756	0.0207557211	0.0195456947	0.0187207488	0.0193652501	0.0087179487	0.0106761566	0.0139650873	0.0112302195	0.0135628586	0.0111761575	0.0118152524	0.0100529101	0.0133264992	0.0155778894	0.0152827305	0.017311609	0.0159235669	0.0113895216	0.0110081112	0.0107719928	0.0101010101	0.0109756098	0.0104422604	0.008125	0.0082174463	0.0177153329	0.0087064677	0.0129310345	0.0089456869	0.0085158151	0.0065165877	0.0069284065	0.0063547083	0.0062785388	0.003875969	0.0033444816	0.0065395095	0.0072992701	0.0100806452	0.0093596059	0.0115606936	0.0099243856	0.0105893186	0.0134168157	0.0152306353	 
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009896091	0	0	0.0049460432	0	0	0	0	0.0016266775	0.0045193098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120741699	0.01208981	0.006686168	0.0067453626	0.0056570931	 
Argentina	0.0003221649	0.0003250975	0.0003298153	0.0003248863	0.0003142678	0.0003182686	0.000310752	0.0003061849	0.0003025719	0.00030003	0.0006301197	0.0006538084	0.0013284623	0.0009383797	0.0006138735	0.0003139717	0.0003153579	0.000619195	0.0006242197	0.0006205399	0.0009377931	0.0006533812	0.0010033445	0.0006587615	0.0006416426	0.000660502	0.0006455778	0.00066357	0.001013856	0.0010298661	0.0006644518	0.0006497726	0.0006422608	0.0003170577	0.0009487666	0.0009502692	0.0009572431	0.0012626263	0.0009185548	0.0015356265	0.0015542431	0.0006702413	0.0006640106	0.0006609385	0.0006447453	0.0006424671	0.0006381621	0.0006339144	0.0006391818	 
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004403347	0.0004139073	0	0	0.0008768084	0.000447828	0.0004462294	0.000873744	0.000814664	0.0007843137	0.0018846589	0.0021802326	0.0017934003	0.0024734982	0.0021574973	 
Australia	0.009718173	0.007719524	0.0082252452	0.0070063694	0.0087350372	0.0113815997	0.0138664947	0.0099263529	0.00768	0.0142630745	0.0078542256	0.009310987	0.0093669251	0.0096217651	0.0087350372	0.0083574413	0.0097624471	0.0125661376	0.0146373919	0.0065487885	0.0110821382	0.0148482892	0.0049423394	0.0113525787	0.0128122998	0.011053316	0.0119201031	0.0099774702	0.0115347645	0.0116940582	0.0128907509	0.0138486312	0.0128670406	0.0095426127	0.0106796117	0.0114267058	0.0110103627	0.0086493679	0.0113144759	0.0103471295	0.0091086532	0.0120364346	0.0135048232	0.0065274151	0.009312781	0.0104463438	0.0124843945	0.0096784265	0.0084454176	 
Austria	0.0021950455	0.0031308704	0.002770936	0.0027514522	0.0024867889	0.0018570102	0.0018785222	0.0021732381	0.0019047619	0.0024891101	0.0021691974	0.0024960998	0.0024308721	0.0021881838	0.0022264631	0.0024676126	0.0025070511	0.0040498442	0.0039634146	0.0041753653	0.0032875075	0.0038246543	0.0035746202	0.0038690476	0.0041506078	0.0046674446	0.0052662376	0.0055604331	0.006618705	0.0074158585	0.0064734028	0.0064953403	0.0074179743	0.0078828829	0.0072666294	0.0071684588	0.0069910515	0.0078272605	0.0092739799	0.0092178035	0.0097112861	0.0106695119	0.0107962213	0.0108371715	0.011546724	0.0119363395	0.0126548906	0.0116402116	0.0134706815	 
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004065041	0.0003872967	0.0003699593	0.0003522367	0.0006863418	0.0006877579	0.001039141	0.001047486	0.0010323469	 
