GRAINS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Afghanistan	0.8435623749	0.8420692018	0.8199333086	0.827072758	0.8221170105	0.8033625731	0.8067990576	0.8005483208	0.8069458631	0.7876036321	0.807646356	0.822732405	0.815876516	0.8101032448	0.808502907	0.7987956075	0.7997587455	0.8029029794	0.7956538315	0.7745058491	0.7720499396	0.7552419355	0.7476228209	0.740317978	0.7462562396	0.7480183563	0.79728739	0.7645891227	0.7417783191	0.7299049265	0.722820764	0.7174603175	0.7536687631	0.7457440967	0.7094850949	0.7173087358	0.7410571276	0.7360672976	0.7136682874	0.7458100559	0.7733026467	0.7643835616	0.7674418605	0.7586558045	0.7331619537	0.7624618515	0.7696078431	0.7741777123	0.7670509126	 
Albania	0.6570657066	0.6571428571	0.6592489569	0.6440528634	0.6603019538	0.64108252	0.6363234644	0.6434671221	0.646422629	0.6248447205	0.6355932203	0.6621961442	0.6522633745	0.6421981548	0.6392785571	0.646641791	0.6563400576	0.6429635145	0.6206367472	0.6297151655	0.6310280374	0.6336707912	0.6372408863	0.6486585814	0.6417153996	0.6501858736	0.6233974359	0.6347859622	0.6063912705	0.6009371339	0.5774757282	0.5886337975	0.573676681	0.5540118097	0.4924549135	0.4871252205	0.5135829662	0.5097247706	0.5075268817	0.4871888726	0.4735146743	0.4734265734	0.43890094	0.4122933142	0.4208507671	0.3918682089	0.391684137	0.3896957123	0.3733788396	 
Algeria	0.6037037037	0.6320153061	0.6299934512	0.6058441558	0.6301886792	0.6318471338	0.6360874848	0.6346041056	0.6347621844	0.6294082487	0.6081395349	0.6287878788	0.6427027027	0.6040302267	0.6036911122	0.609184172	0.5720108696	0.5917235495	0.5773322422	0.5747171284	0.5460500963	0.5476839237	0.5472363779	0.5468	0.5406130268	0.5756190476	0.5663245914	0.574025974	0.5553137468	0.5695604795	0.5660930062	0.5691340782	0.5728257073	0.5822463768	0.5724559511	0.598634567	0.5735724744	0.6073861599	0.593387267	0.5740213523	0.5686070686	0.5697197539	0.5719097339	0.5579758713	0.5598782138	0.5500821018	0.5540184453	0.5544228872	0.5400708079	 
Angola	0.338879645	0.3358946213	0.3175457481	0.327077748	0.3171899947	0.3095615425	0.3161726469	0.297471759	0.321025641	0.2979156075	0.3042394015	0.3185298622	0.3020344288	0.3310271421	0.3737916219	0.3587301587	0.3429010764	0.3457286432	0.3433520122	0.3589613035	0.3619957537	0.3559225513	0.3650057937	0.3351286655	0.3161021985	0.3243902439	0.32002457	0.286875	0.2465233881	0.2742822236	0.302238806	0.2900246305	0.3169329073	0.2901459854	0.2843601896	0.3152424942	0.3344887348	0.3270547945	0.3493909192	0.3444816054	0.3291553134	0.3237747654	0.3119959677	0.3295566502	0.3217726397	0.3218336484	0.3006445672	0.3027728086	0.2911227154	 
Antigua and Barbuda	0.4365355898	0.3831732968	0.3894839338	0.4090267983	0.3966681675	0.3337937385	0.2708226878	0.2879920279	0.2919708029	0.2776785714	0.2854503464	0.3171603677	0.3234978541	0.350250976	0.3582974138	0.3530726257	0.37470726	0.3252427184	0.2947610823	0.2681678608	0.2414646215	0.252593361	0.2616308154	0.2657374101	0.2694970005	0.2559414991	0.2579205712	0.247859589	0.2602684018	0.2604765818	0.2568218299	0.2654938025	0.2609254499	0.278229449	0.2911038659	0.2745463006	0.2757335817	0.2859141791	0.2771308803	0.2774404484	0.2662181643	0.2656023222	0.2684108527	0.2748454589	0.2716688228	0.2750431779	0.2670288341	0.268549747	0.2785030461	 
Argentina	0.3266752577	0.3299739922	0.3377308707	0.3372319688	0.3271527341	0.2982176957	0.2980111871	0.2979179424	0.2807866868	0.300030003	0.3049779458	0.3036940177	0.3085353703	0.2943384423	0.2937384899	0.2982731554	0.2999053926	0.3	0.2958801498	0.2873099597	0.2919662395	0.3113361647	0.3040133779	0.3010540184	0.2977221688	0.2982166447	0.3066494513	0.304910418	0.3257857384	0.3274974253	0.3199335548	0.3109161793	0.2970456005	0.2891566265	0.3001265022	0.3101045296	0.301212508	0.295770202	0.2985303123	0.3144963145	0.3108486167	0.3374664879	0.3459495352	0.3473231989	0.3310767247	0.33151301	0.3292916401	0.3318541997	0.3339725152	 
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5908466819	0.6262482168	0.5544202577	0.5438132981	0.5699503311	0.5733905579	0.5772392904	0.5747479176	0.5696372593	0.55243195	0.5290519878	0.5059063136	0.5160784314	0.4545797211	0.4560319767	0.4397417504	0.419434629	0.3976986695	 
Australia	0.267249757	0.2698616919	0.2745966466	0.2707006369	0.2614040764	0.2760037939	0.2766849403	0.2715337816	0.25856	0.2599049128	0.2529060635	0.243327126	0.2380490956	0.2514930325	0.234228405	0.2388299582	0.2385291246	0.2218915344	0.2308715902	0.2377210216	0.2402216428	0.2375726275	0.2398682043	0.2426208239	0.233504164	0.2181404421	0.2232603093	0.2278725459	0.2214033963	0.2199747156	0.2255881405	0.2093397746	0.2180798416	0.2300098717	0.2411003236	0.2347371858	0.2325129534	0.2225548902	0.2232945092	0.2199599466	0.2176317502	0.2374756018	0.2408360129	0.2245430809	0.2170841362	0.215257993	0.2169163546	0.2322822354	0.236158899	 
Austria	0.3069927877	0.3024420789	0.2958743842	0.2922653623	0.2925085483	0.290003095	0.2839699436	0.2775535548	0.280952381	0.2759800871	0.2671211652	0.2605304212	0.2461257976	0.2388246327	0.2458651399	0.2316471314	0.2322156064	0.2236760125	0.2179878049	0.2087682672	0.2115959354	0.2021182701	0.2064343164	0.2083333333	0.2078268604	0.2033255543	0.2047981276	0.2019315189	0.204028777	0.2065031375	0.2082746974	0.2047444225	0.2034236805	0.2041103604	0.2196757965	0.2288392611	0.2063758389	0.2456140351	0.2390037096	0.2470371346	0.2448818898	0.2459322486	0.2526315789	0.2400433487	0.2532223416	0.2466843501	0.2478249407	0.2407407407	0.236133122	 
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6514236411	0.6857654432	0.66492891	0.6628787879	0.6585473871	0.6857831325	0.6710775047	0.6555360281	0.6580267559	0.6475609756	0.6402013943	0.6300406955	0.638252906	0.6139327385	0.605914718	0.5981988223	0.6131284916	0.5963523744	 
